Time,in,out
0.000000,1.539036,0.000000
0.300000,1.468083,0.319165
0.600000,1.745771,0.000000
0.900000,1.605863,0.000000
1.200000,1.635682,0.000000
1.500000,1.614374,0.000000
1.800000,1.589606,0.000000
2.100000,1.584272,0.000000
2.400000,1.561933,0.000000
2.700000,1.550058,0.000000
3.000000,1.533849,0.000000
3.300000,1.518856,0.000000
3.600000,1.504379,0.000000
3.900000,1.489366,0.106337
4.200000,1.488479,0.115205
4.500000,1.526753,0.000000
4.800000,1.510007,0.000000
5.100000,1.487563,0.124374
5.400000,1.503863,0.000000
5.700000,1.515346,0.000000
6.000000,1.485037,0.149629
6.300000,1.488524,0.114762
6.600000,1.541085,0.000000
6.900000,1.517330,0.000000
7.200000,1.496902,0.030982
7.500000,1.493036,0.069635
7.800000,1.486890,0.131096
8.100000,1.514432,0.000000
8.400000,1.512649,0.000000
8.700000,1.484897,0.151033
9.000000,1.499535,0.004647
9.300000,1.528353,0.000000
9.600000,1.492127,0.078729
9.900000,1.489860,0.101401
10.200000,1.523044,0.500000
10.500000,1.637960,0.500000
10.800000,1.797430,0.500000
11.100000,1.910341,0.500000
11.400000,2.050714,0.500000
11.700000,2.176523,0.500000
12.000000,2.304799,0.500000
12.300000,2.432390,0.500000
12.600000,2.557058,0.000000
12.900000,2.560532,0.000000
13.200000,2.499920,0.000796
13.500000,2.500568,0.000000
13.800000,2.463566,0.364340
14.100000,2.501985,0.000000
14.400000,2.596251,0.000000
14.700000,2.511707,0.000000
15.000000,2.506795,0.000000
15.300000,2.481996,0.180037
15.600000,2.463927,0.360733
15.900000,2.569916,0.000000
16.200000,2.558224,0.000000
16.500000,2.501816,0.000000
16.800000,2.503052,0.000000
17.100000,2.463992,0.360077
17.400000,2.503236,0.000000
17.700000,2.593063,0.000000
18.000000,2.510170,0.000000
18.300000,2.505099,0.000000
18.600000,2.482117,0.178828
18.900000,2.463810,0.361903
19.200000,2.568039,0.000000
19.500000,2.557402,0.000000
19.800000,2.500698,0.000000
