Time,control,height
0.000000,0.000000,1.312208
0.300000,0.500000,1.681234
0.600000,0.000000,1.678248
0.900000,0.000000,1.605213
1.200000,0.000000,1.639076
1.500000,0.000000,1.593412
1.800000,0.000000,1.590693
2.100000,0.000000,1.572147
2.400000,0.000000,1.555701
2.700000,0.000000,1.542485
3.000000,0.000000,1.525897
3.300000,0.000000,1.511843
3.600000,0.000000,1.496758
3.900000,0.032422,1.484338
4.200000,0.156620,1.506154
4.500000,0.000000,1.528974
4.800000,0.000000,1.492571
5.100000,0.074288,1.491739
5.400000,0.082607,1.516630
5.700000,0.000000,1.499275
6.000000,0.007249,1.480271
6.300000,0.197294,1.514968
6.600000,0.000000,1.540585
6.900000,0.000000,1.499651
7.200000,0.003494,1.497355
7.500000,0.026448,1.487651
7.800000,0.123491,1.496717
8.100000,0.032833,1.523726
8.400000,0.000000,1.494526
8.700000,0.054741,1.486267
9.000000,0.137327,1.520765
9.300000,0.000000,1.511641
9.600000,0.000000,1.485116
9.900000,0.148836,1.505390
10.200000,0.500000,1.556858
10.500000,0.500000,1.729007
10.800000,0.500000,1.850824
11.100000,0.500000,1.980304
11.400000,0.500000,2.115134
11.700000,0.500000,2.239650
12.000000,0.500000,2.369438
12.300000,0.500000,2.494585
12.600000,0.054147,2.590244
12.900000,0.000000,2.515777
13.200000,0.000000,2.504153
13.500000,0.000000,2.482772
13.800000,0.172280,2.463135
14.100000,0.368648,2.566805
14.400000,0.000000,2.557902
14.700000,0.000000,2.500064
15.000000,0.000000,2.501825
15.300000,0.000000,2.462738
15.600000,0.372620,2.504823
15.900000,0.000000,2.597492
16.200000,0.000000,2.512689
16.500000,0.000000,2.508483
16.800000,0.000000,2.483066
17.100000,0.169339,2.464629
17.400000,0.353712,2.565922
17.700000,0.000000,2.554970
18.000000,0.000000,2.498958
18.300000,0.010423,2.500350
18.600000,0.000000,2.463390
18.900000,0.366095,2.503581
19.200000,0.000000,2.596110
19.500000,0.000000,2.511825
19.800000,0.000000,2.502623
